Tiempo (s),Temperatura (°C),Estado Servo
0.08,21.00,Cerrado
0.18,21.00,Cerrado
0.38,21.00,Cerrado
0.58,20.75,Cerrado
0.79,21.25,Cerrado
0.99,21.00,Cerrado
1.20,21.25,Cerrado
1.41,21.25,Cerrado
1.60,21.75,Cerrado
1.81,21.00,Cerrado
2.02,21.25,Cerrado
2.21,21.25,Cerrado
2.42,21.00,Cerrado
2.62,21.50,Cerrado
2.83,21.25,Cerrado
3.02,21.25,Cerrado
3.23,21.00,Cerrado
3.44,21.25,Cerrado
3.63,21.00,Cerrado
3.84,21.25,Cerrado
4.03,21.25,Cerrado
4.24,21.50,Cerrado
4.45,21.25,Cerrado
4.64,21.25,Cerrado
4.85,21.50,Cerrado
5.06,21.50,Cerrado
5.26,21.25,Cerrado
5.46,21.50,Cerrado
5.66,21.50,Cerrado
5.87,21.50,Cerrado
6.06,21.50,Cerrado
6.27,21.50,Cerrado
6.48,21.50,Cerrado
6.69,21.00,Cerrado
6.88,21.50,Cerrado
7.09,21.75,Cerrado
7.29,21.75,Cerrado
7.49,21.50,Cerrado
7.69,21.50,Cerrado
7.90,21.50,Cerrado
8.11,21.50,Cerrado
8.30,21.50,Cerrado
8.51,21.50,Cerrado
8.72,21.50,Cerrado
8.93,21.50,Cerrado
9.12,21.50,Cerrado
9.33,21.75,Cerrado
9.53,21.75,Cerrado
9.73,21.75,Cerrado
9.93,21.25,Cerrado
10.13,21.50,Cerrado
10.33,21.50,Cerrado
10.54,21.25,Cerrado
10.73,21.75,Cerrado
10.94,21.50,Cerrado
11.15,21.25,Cerrado
11.36,21.25,Cerrado
11.55,21.50,Cerrado
11.76,22.00,Cerrado
11.96,21.75,Cerrado
12.17,21.75,Cerrado
12.37,22.00,Cerrado
12.57,22.00,Cerrado
12.76,22.00,Cerrado
12.97,22.00,Cerrado
13.20,22.00,Cerrado
13.39,22.00,Cerrado
13.60,22.00,Cerrado
13.79,21.75,Cerrado
14.00,22.25,Cerrado
14.19,21.75,Cerrado
14.40,22.00,Cerrado
14.60,22.00,Cerrado
14.81,22.00,Cerrado
15.00,22.25,Cerrado
15.21,22.00,Cerrado
15.42,21.75,Cerrado
15.61,22.25,Cerrado
15.82,22.25,Cerrado
16.03,22.25,Cerrado
16.23,22.00,Cerrado
16.44,22.00,Cerrado
16.63,21.50,Cerrado
16.84,22.50,Cerrado
17.05,21.75,Cerrado
17.26,22.25,Cerrado
17.45,21.25,Cerrado
17.66,22.25,Cerrado
17.87,22.00,Cerrado
18.06,22.00,Cerrado
18.27,21.75,Cerrado
18.46,22.25,Cerrado
18.66,22.00,Cerrado
18.87,22.00,Cerrado
19.07,21.50,Cerrado
19.27,22.25,Cerrado
19.48,22.25,Cerrado
19.69,22.00,Cerrado
19.88,22.50,Cerrado
20.09,22.25,Cerrado
20.30,22.50,Cerrado
20.49,22.50,Cerrado
20.70,22.50,Cerrado
20.90,22.50,Cerrado
21.11,22.50,Cerrado
21.32,22.50,Cerrado
21.51,22.25,Cerrado
21.72,22.25,Cerrado
21.93,22.50,Cerrado
22.12,22.50,Cerrado
22.33,22.50,Cerrado
22.52,22.50,Cerrado
22.74,22.50,Cerrado
22.95,22.50,Cerrado
23.16,22.75,Cerrado
23.37,22.50,Cerrado
23.56,22.75,Cerrado
23.77,22.50,Cerrado
23.97,22.75,Cerrado
24.18,22.25,Cerrado
24.37,22.25,Cerrado
24.60,22.75,Cerrado
24.81,22.50,Cerrado
25.00,22.25,Cerrado
25.21,22.75,Cerrado
25.41,22.75,Cerrado
25.61,22.75,Cerrado
25.80,23.00,Cerrado
26.02,22.25,Cerrado
26.21,22.50,Cerrado
26.42,22.75,Cerrado
26.63,22.75,Cerrado
26.84,22.75,Cerrado
27.03,22.75,Cerrado
